,Date,sentiment_score
0,2021-01-01,0.00799705372369436
1,2021-01-02,0.05199650485436891
2,2021-01-03,-4.4929176809640324e-20
3,2021-01-04,-0.011195531295820689
4,2021-01-05,0.025542857142857135
5,2021-01-06,1.8121911293348297e-18
6,2021-01-07,0.00020516209317166973
7,2021-01-08,0.01396434265010352
8,2021-01-09,0.045492365844524166
9,2021-01-10,0.005105197733337476
10,2021-01-11,0.03309736592555716
11,2021-01-12,3.2187646583266603e-18
12,2021-01-13,0.08748314607527327
13,2021-01-14,0.04166749056764304
14,2021-01-15,0.027945020630956434
15,2021-01-16,0.03866291467343944
16,2021-01-17,0.005105197733337477
17,2021-01-18,0.017870716953879387
18,2021-01-19,-0.009219964153512384
19,2021-01-20,0.03971339837997047
20,2021-01-21,0.01910519773333748
21,2021-01-22,-0.038599229098590586
22,2021-01-23,0.010508635759409767
23,2021-01-24,0.001315593200012436
24,2021-01-25,0.013857978514953594
25,2021-01-26,0.013910609502598368
26,2021-01-27,0.005105197733337477
27,2021-01-28,-0.018280601704747525
28,2021-01-29,0.019101991437566156
29,2021-01-30,-0.013918120300751877
30,2021-02-01,-0.025047884934412398
31,2021-02-02,0.01371339837997048
32,2021-02-03,0.059013429809341995
33,2021-02-04,-0.025045232081784732
34,2021-02-05,0.06639533463542374
35,2021-02-06,2.3631317168015315e-18
36,2021-02-07,-0.02598717481691472
37,2021-02-08,0.01539992064037774
38,2021-02-09,3.700205417075132e-18
39,2021-02-10,-0.011114091768962848
40,2021-02-11,0.013794837906828322
41,2021-02-12,0.013794837906828316
42,2021-02-13,2.9027788296611947e-19
43,2021-02-14,0.0646125030106308
44,2021-02-15,0.02770378006628054
45,2021-02-16,0.03975961538461533
46,2021-02-17,0.03899084852342203
47,2021-02-18,0.016775547719691294
48,2021-02-19,0.008944641002198795
49,2021-02-20,0.039999999999999994
50,2021-02-21,0.05685250785113244
51,2021-02-22,0.04171348194308517
52,2021-02-23,0.04369718052969663
53,2021-02-24,0.01899119335516454
54,2021-02-25,0.013827748344370863
55,2021-02-26,0.0258067936157398
56,2021-02-27,0.03014222752779834
57,2021-03-01,0.03999912621359222
58,2021-03-02,0.09196434265010348
59,2021-03-03,0.1411750904884104
60,2021-03-04,-0.02490892967579117
61,2021-03-05,0.013713398379970477
62,2021-03-06,0.09171339837997045
63,2021-03-07,0.05567271001238023
64,2021-03-08,0.012913560446833687
65,2021-03-09,1.3985953937210757e-18
66,2021-03-10,0.05347456556024777
67,2021-03-11,0.02599999999999999
68,2021-03-12,0.07090263086322912
69,2021-03-13,0.05777848394487751
70,2021-03-14,0.02599999999999999
71,2021-03-15,0.09091356044683366
72,2021-03-16,0.0044197790533706096
73,2021-03-17,0.06592271192341165
74,2021-03-18,0.09381827692350121
75,2021-03-19,8.313052478489486e-19
76,2021-03-20,0.014000000000000004
77,2021-03-21,0.051922711923411635
78,2021-03-22,0.013827748344370859
79,2021-03-23,0.02599999999999999
80,2021-03-24,0.11784455006041554
81,2021-03-25,-0.011149314291175822
82,2021-03-26,0.025922711923411633
83,2021-03-27,0.013998644578313244
84,2021-03-28,0.01638246095098915
85,2021-03-29,0.041935483870967724
86,2021-03-30,
